,base,exp,tau,type,strike,bid,ask,last_deal,th_price,sigma,underlying_price,sigma-ask,sigma-bid
519,H&H,21-05-20,7,Put,87.0,0.0,0.0,0.0,12551.0,37.571,74.443,,
520,H&H,21-05-20,7,Put,87.25,0.0,0.0,0.0,12800.0,37.669,74.443,,
521,H&H,21-05-20,7,Put,87.5,0.0,0.0,0.0,13050.0,37.758,74.443,,
522,H&H,21-05-20,7,Put,87.75,0.0,0.0,0.0,13300.0,37.839,74.443,,
523,H&H,21-05-20,7,Put,88.0,0.0,0.0,0.0,13550.0,37.913,74.443,,
524,H&H,21-05-20,7,Put,88.25,0.0,0.0,0.0,13800.0,37.979,74.443,,
525,H&H,21-05-20,7,Put,88.5,0.0,0.0,0.0,14050.0,38.04,74.443,,
526,H&H,21-05-20,7,Put,88.75,0.0,0.0,0.0,14300.0,38.095,74.443,,
527,H&H,21-05-20,7,Put,89.0,0.0,0.0,0.0,14549.0,38.144,74.443,,
528,H&H,21-05-20,7,Put,89.25,0.0,0.0,0.0,14799.0,38.188,74.443,,
529,H&H,21-05-20,7,Put,89.5,0.0,0.0,0.0,15049.0,38.228,74.443,,
530,H&H,21-05-20,7,Put,90.0,0.0,0.0,0.0,15549.0,38.294,74.443,,
531,H&H,21-05-20,7,Put,90.25,0.0,0.0,0.0,15799.0,38.322,74.443,,
532,H&H,21-05-20,7,Put,90.5,0.0,0.0,0.0,16049.0,38.347,74.443,,
533,H&H,21-05-20,7,Put,94.75,0.0,0.0,0.0,20299.0,38.476,74.443,,
534,H&H,18-06-20,35,Call,50.0,0.0,0.0,0.0,24467.0,43.177,74.443,,
535,H&H,18-06-20,35,Call,50.25,0.0,0.0,0.0,24218.0,42.898,74.443,,
536,H&H,18-06-20,35,Call,50.5,0.0,0.0,0.0,23968.0,42.61,74.443,,
537,H&H,18-06-20,35,Call,50.75,0.0,0.0,0.0,23718.0,42.312,74.443,,
538,H&H,18-06-20,35,Call,51.0,0.0,0.0,0.0,23468.0,42.006,74.443,,
539,H&H,18-06-20,35,Call,51.25,0.0,0.0,0.0,23218.0,41.69,74.443,,
540,H&H,18-06-20,35,Call,51.5,0.0,0.0,0.0,22969.0,41.367,74.443,,
541,H&H,18-06-20,35,Call,51.75,0.0,0.0,0.0,22719.0,41.034,74.443,,
542,H&H,18-06-20,35,Call,52.0,0.0,0.0,0.0,22469.0,40.693,74.443,,
543,H&H,18-06-20,35,Call,52.25,0.0,0.0,0.0,22219.0,40.344,74.443,,
544,H&H,18-06-20,35,Call,52.5,0.0,0.0,0.0,21969.0,39.987,74.443,,
545,H&H,18-06-20,35,Call,52.75,0.0,0.0,0.0,21720.0,39.623,74.443,,
546,H&H,18-06-20,35,Call,53.0,0.0,0.0,0.0,21470.0,39.251,74.443,,
547,H&H,18-06-20,35,Call,53.25,0.0,0.0,0.0,21220.0,38.871,74.443,,
548,H&H,18-06-20,35,Call,53.5,0.0,0.0,0.0,20970.0,38.485,74.443,,
